Index,Airline Name,Overall_Rating,Review Date,Verified,Type Of Traveller,Seat Type,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
0,AB Aviation,9,11th November 2019,TRUE,Solo Leisure,Economy Class,November 2019,4,5,4,4,,,3,yes
1,AB Aviation,1,25th June 2019,TRUE,Solo Leisure,Economy Class,June 2019,2,2,1,1,,,2,no
2,AB Aviation,1,25th June 2019,TRUE,Solo Leisure,Economy Class,June 2019,2,1,1,1,,,2,no
3,Adria Airways,1,28th September 2019,FALSE,Solo Leisure,Economy Class,September 2019,1,1,,1,,,1,no
4,Adria Airways,1,24th September 2019,TRUE,Couple Leisure,Economy Class,September 2019,1,1,1,1,1,1,1,no
5,Adria Airways,1,17th September 2019,TRUE,Couple Leisure,Economy Class,September 2019,1,1,1,1,1,1,1,no
6,Adria Airways,1,6th September 2019,FALSE,Business,Economy Class,September 2019,1,1,1,1,,,1,no
7,Adria Airways,1,24th August 2019,FALSE,Solo Leisure,Economy Class,August 2019,1,1,1,1,1,1,1,no
8,Adria Airways,1,6th August 2019,TRUE,Solo Leisure,Economy Class,August 2019,1,2,1,1,1,1,1,no
9,Adria Airways,8,12th October 2018,TRUE,Family Leisure,Economy Class,October 2018,4,4,3,5,,,5,yes
10,Adria Airways,1,5th October 2018,FALSE,Business,Economy Class,October 2018,2,1,,1,1,1,1,no
11,Adria Airways,1,29th July 2018,TRUE,Family Leisure,Economy Class,July 2018,4,1,1,4,,,1,no
12,Adria Airways,2,19th July 2018,TRUE,Solo Leisure,Economy Class,May 2018,3,3,,3,,,2,no
13,Adria Airways,2,30th June 2018,TRUE,Business,Economy Class,June 2018,1,2,2,2,,,1,no
14,Adria Airways,3,24th June 2018,TRUE,Couple Leisure,Economy Class,June 2018,3,3,,1,,,1,no
15,Adria Airways,1,4th May 2018,TRUE,Business,Economy Class,April 2018,5,5,5,5,,,5,yes
16,Adria Airways,1,11th March 2018,TRUE,Solo Leisure,Economy Class,March 2018,2,1,1,1,1,1,1,no
17,Adria Airways,3,5th December 2017,TRUE,Solo Leisure,Economy Class,September 2017,2,4,1,1,,,3,no
18,Adria Airways,9,20th November 2017,TRUE,Business,Economy Class,November 2017,5,5,3,5,,,3,yes
19,Adria Airways,2,27th October 2017,FALSE,Couple Leisure,Economy Class,October 2017,3,3,,1,,,1,no
20,Adria Airways,2,16th September 2017,FALSE,Family Leisure,Economy Class,June 2017,3,4,1,1,,1,2,no
21,Adria Airways,9,19th April 2017,FALSE,Business,Economy Class,April 2017,5,5,4,5,4,,4,yes
22,Adria Airways,8,27th January 2017,FALSE,Solo Leisure,Business Class,December 2016,5,5,4,5,5,5,4,yes
23,Adria Airways,1,10th November 2016,FALSE,Business,Economy Class,October 2016,5,5,,5,,,4,yes
24,Adria Airways,8,9th November 2016,FALSE,Solo Leisure,Business Class,November 2016,4,4,3,3,,,4,yes
25,Adria Airways,5,3rd November 2016,FALSE,Business,Economy Class,November 2016,3,5,1,4,3,3,1,no
26,Adria Airways,2,21st October 2016,FALSE,Solo Leisure,Economy Class,October 2016,1,1,2,3,1,,1,no
27,Adria Airways,3,10th October 2016,FALSE,Solo Leisure,Economy Class,October 2016,3,1,1,2,2,,2,no
28,Adria Airways,3,30th September 2016,FALSE,Couple Leisure,Economy Class,August 2016,2,2,,4,,,4,no
29,Adria Airways,6,4th September 2016,FALSE,Family Leisure,Economy Class,September 2016,2,4,3,3,4,4,4,yes
30,Adria Airways,3,6th August 2016,FALSE,Couple Leisure,Economy Class,July 2016,4,5,,1,,,3,no
31,Adria Airways,1,29th July 2016,FALSE,Solo Leisure,Economy Class,July 2016,5,5,5,5,,,5,yes
32,Adria Airways,8,13th July 2016,FALSE,Business,Economy Class,July 2016,4,4,3,5,,,4,yes
33,Adria Airways,1,11th July 2016,FALSE,Solo Leisure,Economy Class,July 2016,5,5,,5,,,5,yes
34,Adria Airways,6,10th July 2016,FALSE,Solo Leisure,Economy Class,July 2016,3,2,2,4,2,,3,yes
35,Adria Airways,3,25th January 2016,FALSE,Solo Leisure,Economy Class,January 2016,2,3,1,3,1,,1,no
36,Adria Airways,5,4th December 2015,FALSE,Couple Leisure,Economy Class,September 2015,3,3,,3,,,2,no
37,Adria Airways,7,3rd October 2015,FALSE,Solo Leisure,Economy Class,September 2015,5,1,1,5,,,5,yes
38,Adria Airways,9,20th September 2015,FALSE,Business,Business Class,September 2015,5,5,5,5,4,,5,yes
39,Adria Airways,5,9th September 2015,FALSE,Family Leisure,Economy Class,February 2015,4,3,,3,,,3,no
40,Adria Airways,6,4th September 2015,FALSE,Family Leisure,Economy Class,August 2015,4,5,,5,,,2,yes
41,Adria Airways,1,2nd September 2015,FALSE,Family Leisure,Economy Class,August 2015,5,5,,5,,,4,yes
42,Adria Airways,7,10th April 2015,FALSE,,Economy Class,,4,4,4,,0,,4,yes
43,Adria Airways,1,5th January 2015,FALSE,,Business Class,,4,5,4,,1,,5,yes
44,Adria Airways,9,14th September 2014,FALSE,,Economy Class,,5,5,4,,0,,5,yes
45,Adria Airways,8,6th September 2014,FALSE,,Business Class,,4,4,3,,1,,4,yes
46,Adria Airways,4,16th June 2014,FALSE,,Economy Class,,4,2,1,,2,,2,no
47,Adria Airways,9,8th June 2014,FALSE,,Economy Class,,4,4,3,,3,,4,yes
48,Adria Airways,5,1st June 2014,FALSE,,Economy Class,,4,4,1,,0,,3,yes
49,Adria Airways,9,10th May 2014,FALSE,,Economy Class,,5,5,4,,3,,4,yes
50,Adria Airways,8,13th January 2014,FALSE,,Business Class,,4,3,4,,1,,4,yes
51,Adria Airways,1,6th January 2014,FALSE,,Economy Class,,5,5,4,,4,,4,yes
52,Adria Airways,9,22nd October 2013,FALSE,,Economy Class,,4,4,4,,4,,4,yes
53,Adria Airways,7,28th August 2013,FALSE,,Economy Class,,4,5,3,,3,,5,yes
54,Adria Airways,8,19th August 2013,FALSE,,Economy Class,,4,4,4,,0,,4,yes
55,Adria Airways,7,19th August 2013,FALSE,,Business Class,,3,3,4,,1,,4,yes
56,Adria Airways,7,10th June 2013,FALSE,,Business Class,,2,5,4,,0,,4,yes
57,Adria Airways,5,27th May 2013,FALSE,,Economy Class,,4,4,1,,0,,4,yes
58,Adria Airways,9,8th October 2012,FALSE,,Economy Class,,4,5,4,,0,,2,yes
59,Adria Airways,5,4th July 2012,FALSE,,Economy Class,,,,,,,,4,yes
60,Adria Airways,5,17th June 2012,FALSE,,Economy Class,,,,,,,,4,yes
61,Adria Airways,8,12th June 2012,FALSE,,Economy Class,,,,,,,,1,yes
62,Adria Airways,9,16th February 2012,FALSE,,Economy Class,,,,,,,,4,yes
63,Adria Airways,5,17th January 2012,FALSE,,Economy Class,,,,,,,,1,no
64,Adria Airways,9,20th September 2011,FALSE,,Economy Class,,,,,,,,4,yes
65,Adria Airways,9,13th September 2011,FALSE,,Business Class,,,,,,,,4,yes
