,Airline Name,Overall_Rating,Review Date,Verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
0,AB Aviation,9,11th November 2019,TRUE,,Solo Leisure,Economy Class,Moroni to Moheli,November 2019,4,5,4,4,,,3,yes
1,AB Aviation,1,25th June 2019,TRUE,E120,Solo Leisure,Economy Class,Moroni to Anjouan,June 2019,2,2,1,1,,,2,no
2,AB Aviation,1,25th June 2019,TRUE,Embraer E120,Solo Leisure,Economy Class,Anjouan to Dzaoudzi,June 2019,2,1,1,1,,,2,no
3,Adria Airways,1,28th September 2019,FALSE,,Solo Leisure,Economy Class,Frankfurt to Pristina,September 2019,1,1,,1,,,1,no
4,Adria Airways,1,24th September 2019,TRUE,,Couple Leisure,Economy Class,Sofia to Amsterdam via Ljubljana,September 2019,1,1,1,1,1,1,1,no
5,Adria Airways,1,17th September 2019,TRUE,CR 900,Couple Leisure,Economy Class,Sarajevo to Ljubljana,September 2019,1,1,1,1,1,1,1,no
6,Adria Airways,1,6th September 2019,FALSE,,Business,Economy Class,Ljubljana to Zürich,September 2019,1,1,1,1,,,1,no
7,Adria Airways,1,24th August 2019,FALSE,Bombardier CRJ,Solo Leisure,Economy Class,Timisoara to Munich,August 2019,1,1,1,1,1,1,1,no
8,Adria Airways,1,6th August 2019,TRUE,,Solo Leisure,Economy Class,Pristina to Zürich via Ljubliana,August 2019,1,2,1,1,1,1,1,no
9,Adria Airways,8,12th October 2018,TRUE,,Family Leisure,Economy Class,Ljubljana to Munich,October 2018,4,4,3,5,,,5,yes
10,Adria Airways,1,5th October 2018,FALSE,,Business,Economy Class,Zurich to Ljubljana,October 2018,2,1,,1,1,1,1,no
11,Adria Airways,1,29th July 2018,TRUE,,Family Leisure,Economy Class,Vienna to Sofia,July 2018,4,1,1,4,,,1,no
12,Adria Airways,2,19th July 2018,TRUE,,Solo Leisure,Economy Class,Paris to Skopje via Ljubljana,May 2018,3,3,,3,,,2,no
13,Adria Airways,2,30th June 2018,TRUE,,Business,Economy Class,Ljubljana to Munich,June 2018,1,2,2,2,,,1,no
14,Adria Airways,3,24th June 2018,TRUE,A319,Couple Leisure,Economy Class,Ljubljana to Prague,June 2018,3,3,,1,,,1,no
15,Adria Airways,1,4th May 2018,TRUE,,Business,Economy Class,Frankfurt to Ljubljana,April 2018,5,5,5,5,,,5,yes
16,Adria Airways,1,11th March 2018,TRUE,,Solo Leisure,Economy Class,Ljubljana to Frankfurt,March 2018,2,1,1,1,1,1,1,no
17,Adria Airways,3,5th December 2017,TRUE,ATR-72,Solo Leisure,Economy Class,Ljubljana to Vienna,September 2017,2,4,1,1,,,3,no
18,Adria Airways,9,20th November 2017,TRUE,CRJ700 / ATR72,Business,Economy Class,Ljubljana to Sarajevo,November 2017,5,5,3,5,,,3,yes
19,Adria Airways,2,27th October 2017,FALSE,,Couple Leisure,Economy Class,Zurich to Ljubjana,October 2017,3,3,,1,,,1,no
20,Adria Airways,2,16th September 2017,FALSE,,Family Leisure,Economy Class,Ljubljana to Munich,June 2017,3,4,1,1,,1,2,no
21,Adria Airways,9,19th April 2017,FALSE,CR9,Business,Economy Class,Ljubljana to Zurich,April 2017,5,5,4,5,4,,4,yes
22,Adria Airways,8,27th January 2017,FALSE,Canadair 700,Solo Leisure,Business Class,LJU to VIE,December 2016,5,5,4,5,5,5,4,yes
23,Adria Airways,1,10th November 2016,FALSE,CRJ900,Business,Economy Class,LJU to VIE,October 2016,5,5,,5,,,4,yes
24,Adria Airways,8,9th November 2016,FALSE,CRJ900,Solo Leisure,Business Class,LJU to CPH,November 2016,4,4,3,3,,,4,yes
25,Adria Airways,5,3rd November 2016,FALSE,,Business,Economy Class,CDG to LJU,November 2016,3,5,1,4,3,3,1,no
26,Adria Airways,2,21st October 2016,FALSE,CRJ-900,Solo Leisure,Economy Class,MUC to LJU,October 2016,1,1,2,3,1,,1,no
27,Adria Airways,3,10th October 2016,FALSE,CRJ-900,Solo Leisure,Economy Class,LJU to AMS,October 2016,3,1,1,2,2,,2,no
28,Adria Airways,3,30th September 2016,FALSE,CRJ900 / A319,Couple Leisure,Economy Class,LJU to BRU,August 2016,2,2,,4,,,4,no
29,Adria Airways,6,4th September 2016,FALSE,A319,Family Leisure,Economy Class,MAN to LJU,September 2016,2,4,3,3,4,4,4,yes
30,Adria Airways,3,6th August 2016,FALSE,,Couple Leisure,Economy Class,LGW to LJU,July 2016,4,5,,1,,,3,no
