Airline Name,Review Date,Type Of Traveller,Seat Type,Date Flown,Recommended,Verified,Overall_Rating,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money
AB Aviation,11th November 2019,Solo Leisure,Economy Class,November 2019,yes,TRUE,9,4,5,4,4,,,3
AB Aviation,25th June 2019,Solo Leisure,Economy Class,June 2019,no,TRUE,1,2,2,1,1,,,2
AB Aviation,25th June 2019,Solo Leisure,Economy Class,June 2019,no,TRUE,1,2,1,1,1,,,2
Adria Airways,28th September 2019,Solo Leisure,Economy Class,September 2019,no,FALSE,1,1,1,,1,,,1
Adria Airways,24th September 2019,Couple Leisure,Economy Class,September 2019,no,TRUE,1,1,1,1,1,1,1,1
Adria Airways,17th September 2019,Couple Leisure,Economy Class,September 2019,no,TRUE,1,1,1,1,1,1,1,1
Adria Airways,6th September 2019,Business,Economy Class,September 2019,no,FALSE,1,1,1,1,1,,,1
Adria Airways,24th August 2019,Solo Leisure,Economy Class,August 2019,no,FALSE,1,1,1,1,1,1,1,1
Adria Airways,6th August 2019,Solo Leisure,Economy Class,August 2019,no,TRUE,1,1,2,1,1,1,1,1
Adria Airways,12th October 2018,Family Leisure,Economy Class,October 2018,yes,TRUE,8,4,4,3,5,,,5
Adria Airways,5th October 2018,Business,Economy Class,October 2018,no,FALSE,1,2,1,,1,1,1,1
Adria Airways,29th July 2018,Family Leisure,Economy Class,July 2018,no,TRUE,1,4,1,1,4,,,1
Adria Airways,19th July 2018,Solo Leisure,Economy Class,May 2018,no,TRUE,2,3,3,,3,,,2
Adria Airways,30th June 2018,Business,Economy Class,June 2018,no,TRUE,2,1,2,2,2,,,1
Adria Airways,24th June 2018,Couple Leisure,Economy Class,June 2018,no,TRUE,3,3,3,,1,,,1
Adria Airways,4th May 2018,Business,Economy Class,April 2018,yes,TRUE,1,5,5,5,5,,,5
Adria Airways,11th March 2018,Solo Leisure,Economy Class,March 2018,no,TRUE,1,2,1,1,1,1,1,1
Adria Airways,5th December 2017,Solo Leisure,Economy Class,September 2017,no,TRUE,3,2,4,1,1,,,3
Adria Airways,20th November 2017,Business,Economy Class,November 2017,yes,TRUE,9,5,5,3,5,,,3
Adria Airways,27th October 2017,Couple Leisure,Economy Class,October 2017,no,FALSE,2,3,3,,1,,,1
Adria Airways,16th September 2017,Family Leisure,Economy Class,June 2017,no,FALSE,2,3,4,1,1,,1,2
Adria Airways,19th April 2017,Business,Economy Class,April 2017,yes,FALSE,9,5,5,4,5,4,,4
Adria Airways,27th January 2017,Solo Leisure,Business Class,December 2016,yes,FALSE,8,5,5,4,5,5,5,4
Adria Airways,10th November 2016,Business,Economy Class,October 2016,yes,FALSE,1,5,5,,5,,,4
Adria Airways,9th November 2016,Solo Leisure,Business Class,November 2016,yes,FALSE,8,4,4,3,3,,,4
Adria Airways,3rd November 2016,Business,Economy Class,November 2016,no,FALSE,5,3,5,1,4,3,3,1
